fold,svm_name,svm_C,svm_gamma,xgb_weight,svm_weight,accuracy,balanced_accuracy,macro_f1,roc_auc,training_pairs,validation_pairs,training_deposits,validation_deposits
4,rbf_c3_scale,3.0,scale,0.0,1.0,0.6632653061224489,0.6632553606237817,0.6632556856832064,0.7119259712588966,7728,2058,317,81
4,rbf_c3_scale,3.0,scale,0.2,0.8,0.6632653061224489,0.6632468606917812,0.6632423274676362,0.714528839324841,7728,2058,317,81
4,rbf_c3_scale,3.0,scale,0.4,0.6,0.6715257531584062,0.6715002946643094,0.6714882121807466,0.7142823412968251,7728,2058,317,81
4,rbf_c3_scale,3.0,scale,0.5,0.5,0.6652089407191448,0.6651763452559046,0.6651513058386378,0.7132878492527615,7728,2058,317,81
4,rbf_c3_scale,3.0,scale,0.6,0.4,0.6686103012633625,0.6685564848814542,0.6684722222222221,0.7120241926953474,7728,2058,317,81
4,rbf_c3_scale,3.0,scale,0.8,0.19999999999999996,0.6622934888241011,0.6622183689197153,0.6620342311113947,0.7075248953563927,7728,2058,317,81
4,rbf_c3_scale,3.0,scale,1.0,0.0,0.6467444120505345,0.6466634933587199,0.6464337847025374,0.7006805612221769,7728,2058,317,81
4,rbf_c10_scale,10.0,scale,0.0,1.0,0.6705539358600583,0.6705086359309125,0.6704530961713415,0.7149330583133113,7728,2058,317,81
4,rbf_c10_scale,10.0,scale,0.2,0.8,0.6715257531584062,0.6714776281789745,0.6714137253419998,0.7172752617979057,7728,2058,317,81
4,rbf_c10_scale,10.0,scale,0.4,0.6,0.673955296404276,0.6739171086631307,0.6738813003863827,0.7170731523036704,7728,2058,317,81
4,rbf_c10_scale,10.0,scale,0.5,0.5,0.673955296404276,0.6739001087991296,0.6738128954308653,0.7157093854360277,7728,2058,317,81
4,rbf_c10_scale,10.0,scale,0.6,0.4,0.673469387755102,0.6734099460537649,0.6733061705810763,0.7138649001919095,7728,2058,317,81
4,rbf_c10_scale,10.0,scale,0.8,0.19999999999999996,0.6622934888241011,0.662207035677048,0.6619562722945287,0.7082728893724406,7728,2058,317,81
4,rbf_c10_scale,10.0,scale,1.0,0.0,0.6467444120505345,0.6466634933587199,0.6464337847025374,0.7006805612221769,7728,2058,317,81
4,rbf_c3_gamma_0_01,3.0,0.01,0.0,1.0,0.6559766763848397,0.6559822521419829,0.6559766763848397,0.707091398824365,7728,2058,317,81
4,rbf_c3_gamma_0_01,3.0,0.01,0.2,0.8,0.6569484936831875,0.6569427444580442,0.6569433098009587,0.7121403584326882,7728,2058,317,81
4,rbf_c3_gamma_0_01,3.0,0.01,0.4,0.6,0.6627793974732751,0.6627680311890838,0.6627679317721393,0.7125275775571573,7728,2058,317,81
4,rbf_c3_gamma_0_01,3.0,0.01,0.5,0.5,0.6686103012633625,0.668598984541457,0.6685990338164252,0.7117984722788884,7728,2058,317,81
4,rbf_c3_gamma_0_01,3.0,0.01,0.6,0.4,0.6676384839650146,0.6676158257400607,0.6676070918194346,0.7107161476041525,7728,2058,317,81
4,rbf_c3_gamma_0_01,3.0,0.01,0.8,0.19999999999999996,0.6603498542274052,0.6602832177342581,0.660141141849898,0.7066503467972256,7728,2058,317,81
4,rbf_c3_gamma_0_01,3.0,0.01,1.0,0.0,0.6467444120505345,0.6466634933587199,0.6464337847025374,0.7006805612221769,7728,2058,317,81
5,rbf_c1_scale,1.0,scale,0.0,1.0,0.6867535287730727,0.6872382569326543,0.686176283091354,0.743620307489153,7932,1842,317,81
5,rbf_c1_scale,1.0,scale,0.2,0.8,0.6867535287730727,0.6871533672891907,0.6863866721550194,0.7449561403508773,7932,1842,317,81
5,rbf_c1_scale,1.0,scale,0.4,0.6,0.6905537459283387,0.6909168081494058,0.6902674707979284,0.7431534144501036,7932,1842,317,81
5,rbf_c1_scale,1.0,scale,0.5,0.5,0.6878393051031487,0.6881331352574986,0.6876690999862876,0.742022731560083,7932,1842,317,81
5,rbf_c1_scale,1.0,scale,0.6,0.4,0.6851248642779587,0.6853706847764572,0.6850175481631036,0.7403945010375401,7932,1842,317,81
5,rbf_c1_scale,1.0,scale,0.8,0.19999999999999996,0.6851248642779587,0.685232739105829,0.6851189248135813,0.7356501131861913,7932,1842,317,81
5,rbf_c1_scale,1.0,scale,1.0,0.0,0.6780673181324647,0.6780737125070742,0.6780558369485414,0.7292244387851349,7932,1842,317,81
5,rbf_c3_scale,3.0,scale,0.0,1.0,0.6867535287730727,0.6872170345217883,0.6862333530833495,0.7430555555555556,7932,1842,317,81
5,rbf_c3_scale,3.0,scale,0.2,0.8,0.6970684039087948,0.697463921901528,0.696724813520914,0.744288813431428,7932,1842,317,81
5,rbf_c3_scale,3.0,scale,0.4,0.6,0.6910966340933767,0.691443831352575,0.6908406842754977,0.7431121486511979,7932,1842,317,81
5,rbf_c3_scale,3.0,scale,0.5,0.5,0.6878393051031487,0.6881225240520656,0.6876845724759626,0.7420816827013771,7932,1842,317,81
5,rbf_c3_scale,3.0,scale,0.6,0.4,0.6883821932681867,0.688638936049802,0.6882631200931223,0.7404569892473118,7932,1842,317,81
5,rbf_c3_scale,3.0,scale,0.8,0.19999999999999996,0.6862106406080347,0.6863292303338993,0.6862013920982392,0.7358422939068101,7932,1842,317,81
5,rbf_c3_scale,3.0,scale,1.0,0.0,0.6780673181324647,0.6780737125070742,0.6780558369485414,0.7292244387851349,7932,1842,317,81
5,rbf_c10_scale,10.0,scale,0.0,1.0,0.6883821932681867,0.6888723825693266,0.6877932913714313,0.7439138841727977,7932,1842,317,81
5,rbf_c10_scale,10.0,scale,0.2,0.8,0.6981541802388708,0.6985391907187324,0.6978335758567094,0.7459087907941897,7932,1842,317,81
5,rbf_c10_scale,10.0,scale,0.4,0.6,0.6932681867535287,0.6936262026032824,0.6929944757118048,0.7449113374834937,7932,1842,317,81
5,rbf_c10_scale,10.0,scale,0.5,0.5,0.6910966340933767,0.6913695529145445,0.6909580965978199,0.7436356347858895,7932,1842,317,81
5,rbf_c10_scale,10.0,scale,0.6,0.4,0.6883821932681867,0.688628324844369,0.6882759873200369,0.7418482361818525,7932,1842,317,81
5,rbf_c10_scale,10.0,scale,0.8,0.19999999999999996,0.6851248642779587,0.6852645727221279,0.6851066739606126,0.7364035087719298,7932,1842,317,81
5,rbf_c10_scale,10.0,scale,1.0,0.0,0.6780673181324647,0.6780737125070742,0.6780558369485414,0.7292244387851349,7932,1842,317,81
5,rbf_c3_gamma_0_01,3.0,0.01,0.0,1.0,0.6840390879478827,0.6843909168081495,0.6837673094894232,0.7454242124127524,7932,1842,317,81
5,rbf_c3_gamma_0_01,3.0,0.01,0.2,0.8,0.6829533116178067,0.6832519807583475,0.6827723038559399,0.7468614412375023,7932,1842,317,81
5,rbf_c3_gamma_0_01,3.0,0.01,0.4,0.6,0.6883821932681867,0.6886177136389361,0.6882881183039795,0.7456317204301075,7932,1842,317,81
5,rbf_c3_gamma_0_01,3.0,0.01,0.5,0.5,0.6889250814332247,0.6891235144312393,0.6888677694063006,0.7441390775325409,7932,1842,317,81
5,rbf_c3_gamma_0_01,3.0,0.01,0.6,0.4,0.6872964169381107,0.687489388794567,0.6872433224029797,0.7422054800980946,7932,1842,317,81
5,rbf_c3_gamma_0_01,3.0,0.01,0.8,0.19999999999999996,0.6867535287730727,0.6868350311262026,0.6867526978695562,0.7364259102056216,7932,1842,317,81
5,rbf_c3_gamma_0_01,3.0,0.01,1.0,0.0,0.6780673181324647,0.6780737125070742,0.6780558369485414,0.7292244387851349,7932,1842,317,81
